Year,Index,Name,Gender,Microphone,Accent
2000-1,3,jamesh,m,big,UK
2000-1,5,scottn,m,big,UK
2000-1,6,simonk,m,big,UK
2001-2,0,annika,f,big,NN Finland
2001-2,13,ccb,m,big,NA
2001-2,17,yokong,m,big,NN Hong Kong
2002-3,2,beata,f,headset,NN Germany
2002-3,10,rachel,f,headset/big,NA
2002-3,16,davidt,m,big,UK
2002-3,20,michaels,m,big,UK
2002-3,23,timm,m,headset,NA
2003-4,7,s0348129,m,headset,NN China
2003-4,8,s0343949,f,headset,NA
2003-4,9,s0344328,m,big,NN Iceland
2003-4,10,s0343559,m,big,NN Pakistan
2003-4,15,joshua,m,headset,NA
2003-4,19,s0349395,f,headset,NN Spain
2003-4,20,s0345336,m,big,NN Pakistan
2004-5,1,s0126339,m,headset,UK
2004-5,2,s0127196,f,headset,UK
2004-5,5,s0450918,f,small,NN Greece
2004-5,9,s0453738,f,big,NN Sweeden
2004-5,11,s0454291,m,big,SC
2004-5,15,s0455511,m,big,NN Belgium
2004-5,18,taal11,m,big,SC
2005-6,4,s0565246,f,headset,NN Germany
2005-6,5,s0565563,m,headset,NN Sweeden
2005-6,6,s0565839,f,headset,NN Germany
2006-7,1,s0451342,m,headset,UK
2006-7,6,s0676047,f,headset,NN Germany
2006-7,7,s0677387,m,headset,NA
2006-7,9,s0679432,f,headset,NN Poland
2010-11,0,s0784186,f,logitech_headset,UK
2010-11,1,s0813426,f,sennheiser_headset,UK
2010-11,3,s0817052,f,sennheiser_headset,UK
2010-11,6,s0836504,m,sennheiser_headset,NN Denmark
2010-11,7,s1050495,f,sennheiser_headset,NA
2010-11,8,s1052161,m,sennheiser_headset,UK
2010-11,9,s1052483,m,sennheiser_headset,NN China
2010-11,12,s1060613,f,logitech_headset,NN Germany
2010-11,13,s9061219,m,sennheiser_headset,SC
2011-12,1,s0806577,m,logitech_headset,UK
2011-12,3,s0824968,m,logitech_headset,SC
2011-12,4,s0830862,f,logitech_headset,UK
2011-12,9,s0940658,m,logitech_headset,SC
2011-12,12,s1100218,m,logitech_headset,NA
2011-12,14,s1128289,m,logitech_headset,NA
2011-12,16,s1151467,m,logitech_headset,UK
2011-12,17,s1157551,m,logitech_headset,NN China
2011-12,19,s1159094,f,logitech_headset,NA
2012-13,0,s0680304,f,logitech_headset,UK
2012-13,4,s0949139,m,laptop,NN Greek (macbook)
2012-13,11,s1250520,m,logitech_headset,NN Portugal
2012-13,12,s1255719,f,logitech_headset,NN Greece
2012-13,19,s1266927,f,logitech_headset,NN France
2013-14,0,s1312082,m,logitech_headset,NN
2013-14,1,s1355318,f,logitech_headset Audacity Lab,NN
2013-14,2,s1367766,f,logitech_headset,NN
2013-14,4,s0950147,f,iMac,UK
2013-14,5,s1336117,f,iMac,NN
2013-14,6,s1036740,f,logitech_headset,NN
2013-14,7,s1114083,f,Acer_v5-571_inbuilt Audacity Home,NA
2013-14,8,s0927462,f,iMac,UK
2013-14,10,s1148578,f,logitech_headset,NN
2013-14,13,s1126144,m,Behringer_B1 Audacity Home,SC
2014-15,0,s1023125,f,logitech_headset,SC
2014-15,1,s1025224,m,logitech_headset,SC
2014-15,6,s1109026,f,logitech_headset,UK
2014-15,8,s1124728,m,laptop,UK
2014-15,10,s1153100,m,logitech_headset,NN Kazakhstan
2014-15,12,s1204877,f,laptop,NN Romania (macbook)
2014-15,18,s1223356,m,logitech_headset,SC
2014-15,19,s1224425,m,logitech_headset,SC
2014-15,22,s1232732,m,logitech_headset,SC
2014-15,24,s1242775,m,logitech_noiseless_mic,NN Netherlands
2014-15,27,s1247148,f,rode_k2,NN China
2014-15,28,s1265676,m,logitech_headset,NN India
2014-15,31,s1420849,m,logitech_headset,NA
