Year,Index,Name,Gender,Microphone,Accent
2000-1,0,nicolek,f,small,NN
2000-1,1,chongh,m,small,NN
2000-1,3,jamesh,m,big,UK
2000-1,4,markm,m,small,SC
2000-1,5,scottn,m,big,UK
2000-1,6,simonk,m,big,UK
2001-2,0,annika,f,big,NN Finland
2001-2,1,beatrice,f,big,NN Germany
2001-2,2,elisabet,f,big,NN Greece
2001-2,3,fionac,f,small,UK
2001-2,4,michele,f,small,NA
2001-2,5,nicola,f,big,UK
2001-2,6,panagiot,f,big,NN Greece
2001-2,7,sarah,f,small,UK
2001-2,8,sasha,f,big,AZ
2001-2,9,alex,m,small,NN Greece?
2001-2,10,anthonyb,m,small,UK
2001-2,11,benjamin,m,big,NA
2001-2,13,ccb,m,big,NA
2001-2,14,christop,m,big,NN Belgium
2001-2,15,colinb,m,big,UK
2001-2,16,davidr,m,small,NA
2001-2,17,yokong,m,big,NN Hong Kong
2002-3,0,andra,f,headset,NA
2002-3,1,angie,f,headset,NN Greece
2002-3,2,beata,f,headset,NN Germany
2002-3,3,efi,f,small,NN Greece
2002-3,4,kateb,f,headset,UK
2002-3,5,kelly,f,headset,NA
2002-3,6,kit,f,headset,UK
2002-3,7,kristina,f,big,NN
2002-3,8,mariza,f,big,NN Greece
2002-3,9,milena,f,headset,NN
2002-3,10,rachel,f,headset/big,NA
2002-3,11,stav,f,small,NN Greece
2002-3,12,unni,f,headset,NN Denmark
2002-3,13,vwiersma,f,big,NN Holland
2002-3,14,yoko,f,big,NN Japan
2002-3,15,athan,m,headset,NN Greece
2002-3,16,davidt,m,big,UK
2002-3,17,guy,m,small,SC
2002-3,18,jose,m,headset,NN Spain
2002-3,19,michaelg,m,headset,UK
2002-3,20,michaels,m,big,UK
2002-3,21,ptepper,m,big,NA
2002-3,22,spengler,m,headset,NN Germany?
2002-3,23,timm,m,headset,NA
2002-3,24,wouter,m,big,NN Germany?
2003-4,0,s0345201,m,headset/headset,NN Greece
2003-4,1,s0343373,f,big/big,UK
2003-4,2,s9901729,m,big/?,SC
2003-4,3,s0345701,m,big/big,NA
2003-4,4,s0345310,f,headset/big,NA
2003-4,5,s0340933,m,big/big,NA
2003-4,6,s0341098,f,small/small,NN Korea
2003-4,7,s0348129,m,headset/headset,NN China
2003-4,8,s0343949,f,headset/headset,NA
2003-4,9,s0344328,m,big/big,NN Iceland
2003-4,10,s0343559,m,big/big,NN Pakistan
2003-4,11,s0345347,m,headset/big,NN Germany
2003-4,13,s0343820,f,headset/headset,NN Germany
2003-4,14,s0343444,m,big/big,NN Pakistan
2003-4,15,joshua,m,headset/headset,NA
2003-4,16,s0343879,m,headset/headset,NN Germany
2003-4,17,s0343799,m,small/big,NN
2003-4,18,s0348176,f,headset/big,NN Brazil
2003-4,19,s0349395,f,headset/headset,NN Spain
2003-4,20,s0345336,m,big/big,NN Pakistan
2003-4,21,s0349492,m,headset/headset,NN Germany
2003-4,23,s0339733,f,big/big,NN China
2003-4,24,s9810638,m,big/big,UK
2003-4,25,s0340681,f,small/small,NN Korea
2004-5,0,s0125605,f,big,NA 
2004-5,1,s0126339,m,headset,UK
2004-5,2,s0127196,f,headset,UK0
2004-5,3,s0231469,f,big,NN Germany
2004-5,4,s0450736,m,headset,NN 
2004-5,5,s0450918,f,small,NN Greece
2004-5,6,s0450928,f,big,NN Germany
2004-5,7,s0450990,f,big,NN Egypt
2004-5,8,s0453481,m,big,NA
2004-5,9,s0453738,f,big,NN Sweeden
2004-5,10,s0453767,f,small,NN Germany/Poland
2004-5,11,s0454291,m,big,SC
2004-5,12,s0454417,f,big,NN Germany
2004-5,13,s0454931,f,big,NA
2004-5,14,s0454934,f,headset,UK
2004-5,15,s0455511,m,big,NN Belgium
2004-5,17,s0457086,m,big,UK
2004-5,18,taal11,m,big,SC
2005-6,0,s0235479,m,headset,UK 
2005-6,1,s0560804,f,headset,NN Israel
2005-6,2,s0562500,f,headset,NA
2005-6,3,s0563087,f,headset,NN France
2005-6,4,s0565246,f,headset,NN Germany
2005-6,5,s0565563,m,headset,NN Sweeden
2005-6,6,s0565839,f,headset,NN Germany
2005-6,7,s0565890,f,headset,NN Iran
2005-6,8,s0568074,f,headset,NN Greece
2005-6,9,s0570475,f,headset,NN Italy
2006-7,0,s0238734,f,headset,UK
2006-7,1,s0451342,m,headset,UK
2006-7,2,s0452991,f,headset,UK
2006-7,3,s0672048,m,headset,NN S.Korea
2006-7,4,s0674231,f,headset,NA
2006-7,5,s0674876,f,headset,NN Austria
2006-7,6,s0676047,f,headset,NN Germany
2006-7,7,s0677387,m,headset,NA
2006-7,8,s0678004,m,headset,UK
2006-7,9,s0679432,f,headset,NN Poland
2006-7,10,s0680940,m,headset,NN China
2006-7,11,s0681481,m,headset,NN Greece
2010-11,0,s0784186,f,logitech_headset,UK England
2010-11,1,s0813426,f,sennheiser_headset,UK England
2010-11,2,s0815365,f,sennheiser_headset,UK England
2010-11,3,s0817052,f,sennheiser_headset,UK England
2010-11,4,s0830024,f,logitech_headset,SC
2010-11,5,s0834892,f,logitech_headset/sennheiser_headset,NN Romanian
2010-11,6,s0836504,m,sennheiser_headset,NN Denmark
2010-11,7,s1050495,f,sennheiser_headset,NA
2010-11,8,s1052161,m,sennheiser_headset,UK England
2010-11,9,s1052483,m,sennheiser_headset,NN Chinese
2010-11,10,s1053080,f,logitech_headset,NN Germany
2010-11,11,s1054017,m,sennheiser_headset,NN Netherlands
2010-11,12,s1060613,f,logitech_headset,NN Germany
2010-11,13,s9061219,m,sennheiser_headset,SC
2011-12,0,s0680570,m,logitech_headset,UK Northern Ireland
2011-12,1,s0806577,m,logitech_headset,UK Southern England
2011-12,2,s0823571,f,logitech_headset,SC
2011-12,3,s0824968,m,logitech_headset,SC
