Year,Index,Name,Gender,Microphone,Accent
2017-18,9,s1792565,m,iMac,UK
2017-18,10,s1322332,m,iMac,UK
2017-18,26,s1783009,m,iMac,UK
2004-5,1,s0126339,m,headset,UK
2006-7,1,s0451342,m,headset,UK
2010-11,8,s1052161,m,sennheiser_headset,UK
2013-14,4,s0950147,f,iMac,UK
2013-14,8,s0927462,f,iMac,UK
2017-18,6,s1408393,f,iMac,UK
2017-18,35,s1531466,f,iMac,UK
2010-11,0,s0784186,f,logitech_headset,UK
2011-12,4,s0830862,f,logitech_headset,UK
2012-13,0,s0680304,f,logitech_headset,UK
2014-15,6,s1109026,f,logitech_headset,UK
2017-18,32,s1357269,f,iMac,NA
2017-18,54,s1313407,f,iMac,NA
2017-18,58,s1778033,f,iMac,NA
2015-16,21,s1564218,f,microsoft_headset,NA
2015-16,25,s1523985,f,microsoft_headset,NA
2010-11,7,s1050495,f,sennheiser_headset,NA
2016-17,19,s1312747,m,iMac,NA
2017-18,8,s1773886,m,iMac,NA
2017-18,23,s1240595,m,iMac,NA
2002-3,23,timm,m,headset,NA
2003-4,15,joshua,m,headset,NA
2006-7,7,s0677387,m,headset,NA
2017-18,7,s1719048,f,iMac,NN China
2015-16,8,s1565865,f,logitech_headset,NN China
2017-18,21,s1718204,m,iMac,NN China
2011-12,17,s1157551,m,logitech_headset,NN China
2018-19,35,s1406597,m,iMac,SC
2011-12,3,s0824968,m,logitech_headset,SC
2017-18,28,s1444618,f,iMac,NN Germany
2010-11,12,s1060613,f,logitech_headset,NN Germany
